City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,yellowknife,62.456,-114.3525,-1.53,95,100,6.98,CA,1675822286
1,puerto ayora,-0.7393,-90.3518,79.56,92,52,7.0,EC,1675822182
2,mount darwin,-16.7725,31.5838,64.08,96,71,2.13,ZW,1675822287
3,vila do maio,15.1333,-23.2167,68.79,66,15,18.23,CV,1675822289
4,upernavik,72.7868,-56.1549,-22.16,96,48,4.0,GL,1675822179
5,lagoa,39.05,-27.9833,55.72,56,100,14.32,PT,1675822290
6,aksu,41.1231,80.2644,22.51,70,7,5.12,CN,1675822291
7,shahreza,32.0339,51.8794,38.43,54,0,14.79,IR,1675822291
8,pevek,69.7008,170.3133,-21.59,93,100,2.93,RU,1675822034
9,puerto del rosario,28.5004,-13.8627,56.95,72,0,6.91,ES,1675822293
10,kapaa,22.0752,-159.319,79.12,86,75,16.11,US,1675822105
11,busselton,-33.65,115.3333,75.96,50,0,5.73,AU,1675822295
12,albany,42.6001,-73.9662,34.27,79,100,3.0,US,1675822296
13,kaitangata,-46.2817,169.8464,58.91,49,11,15.39,NZ,1675822297
14,manoel urbano,-8.8389,-69.2597,72.52,94,47,1.34,BR,1675822298
15,rikitea,-23.1203,-134.9692,79.97,68,10,9.95,PF,1675822237
16,trzcianka,53.0406,16.4563,28.0,78,22,4.47,PL,1675822299
17,naze,28.3667,129.4833,61.0,70,100,14.65,JP,1675822300
18,ponta do sol,32.6667,-17.1,60.71,68,36,7.74,PT,1675822297
19,egvekinot,66.3167,-179.1667,-21.08,87,87,8.46,RU,1675822183
20,saint george,37.1041,-113.5841,48.94,42,0,6.91,US,1675822041
21,cape town,-33.9258,18.4232,69.91,73,0,14.0,ZA,1675822245
22,camacha,33.0833,-16.3333,54.82,72,40,14.97,PT,1675822303
23,sujangarh,27.7011,74.4649,56.84,43,3,1.12,IN,1675822304
24,sikasso,10.9167,-7.0,78.39,20,59,3.49,ML,1675822305
25,mims,28.6653,-80.8448,67.96,83,75,0.0,US,1675822305
26,lagos,6.5833,3.75,77.4,87,100,3.31,NG,1675822306
27,tynda,55.1667,124.7167,-17.77,91,27,2.3,RU,1675822307
28,dikson,73.5069,80.5464,-8.27,90,100,21.77,RU,1675822090
29,hasaki,35.7333,140.8333,48.6,68,100,21.07,JP,1675822308
30,awash,8.9833,40.1667,67.57,48,0,0.85,ET,1675822309
31,damavand,35.7178,52.065,22.8,83,73,3.56,IR,1675822309
32,payo,-3.7508,103.6372,82.83,69,48,2.44,ID,1675822310
33,road town,18.4167,-64.6167,77.09,76,4,20.24,VG,1675822311
34,butaritari,3.0707,172.7902,80.94,81,100,21.92,KI,1675822312
35,arraial do cabo,-22.9661,-42.0278,75.16,91,100,4.38,BR,1675822313
36,vaini,-21.2,-175.2,84.36,79,75,6.91,TO,1675822313
37,torbay,47.6666,-52.7314,25.57,87,100,20.0,CA,1675822314
38,lompoc,34.6391,-120.4579,57.34,84,0,8.01,US,1675822315
39,smithers,54.7804,-127.1743,21.13,98,80,0.89,CA,1675822316
40,punta arenas,-53.15,-70.9167,51.91,82,0,4.61,CL,1675822054
41,hermanus,-34.4187,19.2345,67.8,83,0,11.83,ZA,1675822065
42,cabo san lucas,22.8909,-109.9124,70.52,65,40,4.61,MX,1675822073
43,rio gallegos,-51.6226,-69.2181,53.67,84,95,12.26,AR,1675822088
44,akcaabat,41.0212,39.5715,39.07,65,75,4.61,TR,1675822319
45,codrington,-38.2667,141.9667,66.02,60,87,15.37,AU,1675822288
46,yablonovo,50.8523,37.3574,9.64,94,6,10.11,RU,1675822321
47,harper,4.375,-7.7169,78.87,85,100,7.0,LR,1675822180
48,puerto escondido,15.85,-97.0667,81.43,65,20,0.0,MX,1675822095
49,avarua,-21.2078,-159.775,84.25,74,28,11.5,CK,1675822068
50,saint-philippe,-21.3585,55.7679,76.59,83,90,14.14,RE,1675822083
51,lincoln,40.8,-96.667,39.87,61,0,1.01,US,1675822298
52,paita,-5.0892,-81.1144,75.29,83,69,7.78,PE,1675822321
53,hamilton,39.1834,-84.5333,53.24,91,100,8.05,US,1675822248
54,georgetown,5.4112,100.3354,82.33,69,20,8.05,MY,1675822203
55,tasiilaq,65.6145,-37.6368,-0.24,37,0,28.32,GL,1675822140
56,hirara,24.8,125.2833,70.18,73,95,17.09,JP,1675822329
57,alice town,25.7167,-79.3,74.07,63,0,19.73,BS,1675822330
58,thompson,55.7435,-97.8558,6.67,96,100,4.47,CA,1675822210
59,buala,-8.145,159.5921,81.37,86,85,8.5,SB,1675822333
60,leczyca,52.0596,19.1997,30.15,83,100,2.37,PL,1675822333
61,yuzhno-kurilsk,44.0306,145.8556,25.88,66,57,4.23,RU,1675822334
62,inhambane,-23.865,35.3833,77.67,87,8,6.71,MZ,1675822176
63,wajima,37.4,136.9,42.87,81,99,16.24,JP,1675822337
64,nome,64.5011,-165.4064,-7.53,77,0,0.0,US,1675822339
65,qaqortoq,60.7167,-46.0333,-11.87,65,0,7.25,GL,1675822340
66,qaanaaq,77.484,-69.3632,-25.2,67,4,6.24,GL,1675822185
67,mataura,-46.1927,168.8643,56.48,65,73,10.71,NZ,1675822176
68,tuatapere,-46.1333,167.6833,56.26,58,67,15.41,NZ,1675822129
69,tuktoyaktuk,69.4541,-133.0374,-21.1,94,100,4.0,CA,1675822069
70,dauphin,51.1494,-100.0502,32.59,84,48,9.06,CA,1675822347
71,mar del plata,-38.0023,-57.5575,74.08,93,0,18.99,AR,1675822304
72,clyde river,70.4692,-68.5914,-31.16,98,93,3.02,CA,1675822331
73,najran,17.4924,44.1277,64.0,69,3,5.99,SA,1675822233
74,zyryanka,65.75,150.85,-28.07,92,100,4.29,RU,1675822349
75,khatanga,71.9667,102.5,-47.52,100,64,2.82,RU,1675822180
76,port alfred,-33.5906,26.891,69.19,89,100,1.99,ZA,1675822235
77,havre,49.5833,0.3333,32.2,86,0,3.44,FR,1675822352
78,jamestown,42.097,-79.2353,41.02,90,100,13.8,US,1675822353
79,puri,19.8,85.85,68.52,73,9,10.16,IN,1675822354
80,comodoro rivadavia,-45.8667,-67.5,67.26,49,3,7.63,AR,1675822355
81,chisindia,46.2833,22.1,19.69,94,100,2.33,RO,1675822356
82,inta,66.0317,60.1659,13.98,93,100,27.16,RU,1675822357
83,narsaq,60.9167,-46.05,-3.78,63,0,8.05,GL,1675822358
84,barrow,71.2906,-156.7887,1.42,78,100,5.75,US,1675822144
85,horsham,51.064,-0.3272,37.26,93,40,1.14,GB,1675822287
86,talnakh,69.4865,88.3972,-7.71,98,100,7.58,RU,1675822275
87,tarakan,3.3,117.6333,78.3,83,75,3.44,ID,1675822362
88,chokurdakh,70.6333,147.9167,-36.67,99,100,3.62,RU,1675822363
89,oranjemund,-28.55,16.4333,63.36,89,98,17.54,NA,1675822364
90,padang,-0.9492,100.3543,80.65,58,79,1.23,ID,1675822361
91,hobart,-42.8794,147.3294,63.27,68,75,14.97,AU,1675822285
92,te anau,-45.4167,167.7167,57.9,46,50,11.81,NZ,1675822371
93,san jose,37.3394,-121.895,57.4,60,20,8.05,US,1675822262
94,la serena,-29.9078,-71.2542,63.91,88,75,4.61,CL,1675822373
95,vila velha,-20.3297,-40.2925,80.55,89,40,8.05,BR,1675822374
96,port lincoln,-34.7333,135.8667,73.74,60,6,11.27,AU,1675822242
97,homer,59.6425,-151.5483,27.81,71,75,21.0,US,1675822375
98,cockburn town,21.4612,-71.1419,77.9,74,0,23.24,TC,1675822354
99,oktyabrskiy,54.4815,53.471,-8.97,100,90,1.12,RU,1675822377
100,hithadhoo,-0.6,73.0833,81.14,72,13,8.01,MV,1675822334
101,nikolskoye,59.7035,30.7861,30.09,86,100,10.07,RU,1675822119
102,merauke,-8.4667,140.3333,83.14,77,76,15.73,ID,1675822379
103,esperance,-33.8667,121.9,70.57,66,88,10.98,AU,1675822287
104,kalmunai,7.4167,81.8167,77.88,85,100,8.12,LK,1675822380
105,airai,-8.9266,125.4092,70.03,78,77,3.13,TL,1675822382
106,bethel,41.3712,-73.414,37.76,78,100,3.44,US,1675822383
107,mana,5.6592,-53.7767,75.69,88,57,9.42,GF,1675822384
108,kutum,14.2,24.6667,53.46,35,20,9.91,SD,1675822385
109,bud,39.447,-86.1758,50.41,78,100,6.51,US,1675822386
110,caravelas,-17.7125,-39.2481,77.4,81,4,8.08,BR,1675822387
111,verkhnevilyuysk,63.4453,120.3167,-34.15,97,100,0.65,RU,1675822389
112,mahebourg,-20.4081,57.7,79.09,83,40,11.5,MU,1675822391
113,caucasia,7.9865,-75.1935,78.49,86,48,9.6,CO,1675822392
114,honiara,-9.4333,159.95,84.52,73,100,6.82,SB,1675822350
115,salinas,36.6777,-121.6555,55.96,83,0,4.61,US,1675822300
116,sao filipe,14.8961,-24.4956,68.13,69,18,10.78,CV,1675822299
117,minot,48.2325,-101.2963,37.62,75,0,11.5,US,1675822394
118,bredasdorp,-34.5322,20.0403,65.37,79,11,7.07,ZA,1675822395
119,marshfield,44.6689,-90.1718,30.15,69,0,9.22,US,1675822241
120,ovsyanka,55.9575,92.5519,9.57,95,99,4.05,RU,1675822397
121,lebu,-37.6167,-73.65,58.95,88,0,17.31,CL,1675822193
122,saskylakh,71.9167,114.0833,-29.04,100,100,0.72,RU,1675822269
123,konya,38.1667,32.5,17.08,90,100,9.73,TR,1675822400
124,pipar,26.3856,73.5378,59.34,33,0,4.97,IN,1675822400
125,port hardy,50.6996,-127.4199,39.38,93,75,5.75,CA,1675822295
126,hilo,19.7297,-155.09,77.29,89,100,12.66,US,1675822403
127,saldanha,-33.0117,17.9442,64.02,89,0,13.2,ZA,1675822108
128,aksha,50.2814,113.2867,5.63,80,40,3.36,RU,1675822405
129,cidreira,-30.1811,-50.2056,75.56,80,15,14.36,BR,1675822406
130,piranhas,-16.4269,-51.8222,73.42,85,60,4.23,BR,1675822407
131,lohja,60.2486,24.0653,36.18,100,100,6.64,FI,1675822408
132,aksarka,66.5606,67.7975,6.69,88,100,19.75,RU,1675822410
133,new norfolk,-42.7826,147.0587,62.92,33,6,3.24,AU,1675822247
134,teya,60.3778,92.6267,9.66,97,100,3.24,RU,1675822206
135,mashhad,36.297,59.6062,46.54,71,75,9.22,IR,1675822412
136,yulara,-25.2406,130.9889,96.04,18,0,6.73,AU,1675822413
137,saurimo,-9.6608,20.3916,62.89,96,100,3.74,AO,1675822414
138,port elizabeth,-33.918,25.5701,68.31,93,100,3.0,ZA,1675822252
139,antofagasta,-23.65,-70.4,70.88,81,100,4.45,CL,1675822186
140,chumikan,54.7183,135.315,-16.67,76,62,12.88,RU,1675822418
141,northam,51.0333,-4.2167,38.61,93,0,6.31,GB,1675822419
142,saint-andre-avellin,45.7168,-75.066,29.64,98,100,13.58,CA,1675822420
143,pacific grove,36.6177,-121.9166,55.54,86,0,5.01,US,1675822318
144,blairmore,49.6,-114.4353,32.52,86,45,11.41,CA,1675822421
145,kruisfontein,-34.0033,24.7314,65.88,83,100,4.14,ZA,1675822422
146,bambous virieux,-20.3428,57.7575,79.05,83,40,11.5,MU,1675822190
147,bluff,-46.6,168.3333,54.81,61,62,26.26,NZ,1675822423
148,bastrop,32.7562,-91.8724,62.58,74,0,0.0,US,1675822138
149,prudentopolis,-25.2131,-50.9778,65.23,79,35,2.21,BR,1675822425
150,ancud,-41.8697,-73.8203,57.36,94,0,3.62,CL,1675822193
151,alenquer,-1.9417,-54.7383,74.7,94,98,2.64,BR,1675822426
152,tura,25.5198,90.2201,64.18,47,97,2.28,IN,1675822427
153,laguna,38.421,-121.4238,54.68,67,100,3.56,US,1675822292
154,rongotea,-40.3,175.4167,72.64,67,0,16.2,NZ,1675822348
155,castro,-24.7911,-50.0119,62.19,93,62,5.28,BR,1675822434
156,shelburne,44.0787,-80.2041,34.12,95,100,13.8,CA,1675822283
157,juybar,36.6412,52.9124,49.46,90,99,2.73,IR,1675822436
158,ushuaia,-54.8,-68.3,45.36,86,98,6.29,AR,1675822436
159,chuy,-33.6971,-53.4616,70.7,80,27,7.38,UY,1675822437
160,great bend,38.3645,-98.7648,42.04,51,0,4.61,US,1675822263
161,lucapa,-8.4192,20.7447,65.23,95,100,2.48,AO,1675822439
162,sangar,63.9242,127.4739,-37.64,95,100,2.73,RU,1675822439
163,ulladulla,-35.35,150.4667,67.57,83,100,4.0,AU,1675822440
164,imeni poliny osipenko,52.4201,136.4853,-11.7,90,53,8.5,RU,1675822441
165,maragogi,-9.0122,-35.2225,76.82,71,100,6.15,BR,1675822442
166,iqaluit,63.7506,-68.5145,-18.18,96,100,2.75,CA,1675822257
167,opuwo,-18.0607,13.84,64.67,57,100,4.59,NA,1675822185
168,de haan,51.272,3.0429,32.41,100,7,3.44,BE,1675822444
169,ushumun,52.7833,126.5333,-12.66,85,20,5.06,RU,1675822445
170,ambulu,-8.345,113.6058,77.31,87,100,3.33,ID,1675822447
171,porangatu,-13.4408,-49.1486,72.61,89,49,2.98,BR,1675822448
172,douglas,41.3,-96.167,39.27,68,0,5.75,US,1675822244
173,pottstown,40.2454,-75.6496,40.87,73,100,5.17,US,1675822450
174,cabedelo,-6.9811,-34.8339,75.87,73,99,8.84,BR,1675822451
175,kahului,20.8947,-156.47,78.96,74,40,23.02,US,1675822369
176,moose factory,51.2585,-80.6094,5.0,72,40,10.36,CA,1675822454
177,collie,-33.3667,116.15,78.55,40,0,6.24,AU,1675822456
178,los banos,14.1667,121.1833,86.49,62,100,10.92,PH,1675822457
179,bathsheba,13.2167,-59.5167,74.01,94,40,11.5,BB,1675822458
180,rangoon,16.8053,96.1561,69.76,88,20,2.3,MM,1675822443
181,itarana,-19.8739,-40.8753,72.7,98,100,3.02,BR,1675822460
182,college,64.8569,-147.8028,6.58,80,40,0.0,US,1675822454
183,nador,35.174,-2.9287,52.05,82,75,1.14,MA,1675822463
184,peniche,39.3558,-9.3811,46.11,80,3,6.51,PT,1675822464
185,ketchikan,55.3422,-131.6461,39.18,93,100,4.61,US,1675822465
186,cherskiy,68.75,161.3,-28.8,96,100,5.5,RU,1675822466
187,isilkul,54.9109,71.2728,-4.22,100,86,5.99,RU,1675822467
188,lieksa,63.3167,30.0167,31.1,97,100,7.05,FI,1675822473
189,abu dhabi,24.4667,54.3667,71.71,60,0,4.61,AE,1675822012
190,paamiut,61.994,-49.6678,-2.0,86,76,11.5,GL,1675822216
191,sambava,-14.2667,50.1667,74.28,89,83,7.07,MG,1675822475
192,candolim,15.5181,73.7626,71.6,88,100,4.61,IN,1675822483
193,ribeira grande,38.5167,-28.7,55.78,64,9,7.0,PT,1675822484
194,beruwala,6.4788,79.9828,76.26,88,98,3.06,LK,1675822485
195,kailua,21.4022,-157.7394,80.58,77,40,17.27,US,1675822486
196,san alberto,7.7611,-73.3922,77.47,73,24,6.17,CO,1675822486
197,sao joao da barra,-21.6403,-41.0511,74.68,92,100,5.39,BR,1675822487
198,gat,31.61,34.7642,48.88,100,63,20.96,IL,1675822488
199,koungheul,13.9833,-14.8,75.25,17,48,10.98,SN,1675822490
200,riyadh,24.6877,46.7219,53.74,42,21,4.74,SA,1675822209
201,kudahuvadhoo,2.6708,72.8944,80.28,72,37,5.82,MV,1675822491
202,kijang,35.2442,129.2139,49.73,38,18,3.2,KR,1675822492
203,curup,-3.4667,102.5333,78.17,49,95,1.3,ID,1675822493
204,westport,41.1415,-73.3579,42.78,81,100,3.44,US,1675822494
205,cosala,24.4125,-106.6908,63.72,34,48,0.56,MX,1675822495
206,aswan,24.0934,32.907,49.51,42,25,9.64,EG,1675822496
207,sidi ali,36.0998,0.4206,50.0,79,100,3.36,DZ,1675822497
208,buriti bravo,-5.8372,-43.8336,70.63,96,99,3.38,BR,1675822497
209,aden,12.7794,45.0367,75.87,68,12,9.73,YE,1675822498
210,bom jesus da lapa,-13.255,-43.4181,72.41,57,11,1.7,BR,1675822499
211,okhotsk,59.3833,143.3,-11.22,80,89,12.08,RU,1675822481
212,adelaide,-34.9333,138.6,93.04,29,1,4.0,AU,1675822246
213,kavieng,-2.5744,150.7967,81.66,79,99,8.95,PG,1675822501
214,san ramon,37.7799,-121.978,55.26,69,0,8.05,US,1675822502
215,esmeraldas,-19.7625,-44.3139,71.91,88,100,2.42,BR,1675822483
