City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,iqaluit,63.7506,-68.5145,-29.31,66,0,11.5,CA,1676016960
1,sept-iles,50.2001,-66.3821,6.8,66,100,9.22,CA,1676016961
2,port alfred,-33.5906,26.891,74.17,79,85,3.0,ZA,1676016963
3,saint george,37.1041,-113.5841,36.95,48,0,3.44,US,1676016856
4,barrow,71.2906,-156.7887,-14.78,76,100,3.44,US,1676016968
5,beringovskiy,63.05,179.3167,-24.97,96,92,10.2,RU,1676016971
6,saskylakh,71.9167,114.0833,-44.5,98,49,7.09,RU,1676016373
7,tezu,27.9167,96.1667,77.13,34,75,4.21,IN,1676016972
8,northam,51.0333,-4.2167,38.61,90,77,7.29,GB,1676016973
9,hirara,24.8,125.2833,68.27,88,75,17.27,JP,1676016974
10,norman wells,65.282,-126.8329,-8.7,96,81,6.06,CA,1676016468
11,jamestown,42.097,-79.2353,42.03,91,100,18.01,US,1676016355
12,busselton,-33.65,115.3333,75.2,57,5,18.61,AU,1676016987
13,shar,49.5886,81.0453,7.86,86,100,3.2,KZ,1676016988
14,westport,41.1415,-73.3579,53.1,91,93,1.99,US,1676016989
15,pilar,-9.5972,-35.9567,73.33,92,79,2.84,BR,1676016991
16,bredasdorp,-34.5322,20.0403,77.54,60,32,15.66,ZA,1676016488
17,cape town,-33.9258,18.4232,85.12,53,0,13.8,ZA,1676016178
18,ushuaia,-54.8,-68.3,40.8,96,80,5.26,AR,1676016722
19,flin flon,54.7682,-101.865,8.53,99,100,4.16,CA,1676016910
20,touros,-5.1989,-35.4608,78.49,81,77,11.07,BR,1676016891
21,luanda,-8.8368,13.2343,82.4,65,75,4.61,AO,1676016995
22,rawson,-43.3002,-65.1023,71.02,51,22,9.26,AR,1676016500
23,kieta,-6.2167,155.6333,82.06,78,100,4.68,PG,1676016998
24,arraial do cabo,-22.9661,-42.0278,74.39,92,1,13.0,BR,1676017000
25,bethel,41.3712,-73.414,53.69,85,0,5.75,US,1676016545
26,san quintin,30.4833,-115.95,59.58,37,0,4.09,MX,1676017002
27,albany,42.6001,-73.9662,52.23,88,65,7.09,US,1676016911
28,kasongo-lunda,-6.4667,16.8167,82.49,62,17,1.81,CD,1676017003
29,mataura,-46.1927,168.8643,58.48,76,26,1.92,NZ,1676016421
